pet_id,pet_name,primary_breed,secondary_breed,mixed_breed,age,gender,size,primary_colour,secondary_colour,coat_length,shelter_name,shelter_id,zip_code,num_photos,children,cats,other_dogs,other_animals,fee_waived,pet_location,characteristics,house_trained,health
72576278,Twix,Mixed Breed,,False,Baby,Male,Medium,Brindle,,Short,"Humane Society of Houston County, Inc",GA553,31028,4,True,,True,,False,"Centerville, GA",N/A,N/A,Vaccinations up to date.
72576271,Moon Pie,Mixed Breed,,False,Baby,Female,Medium,Brown / Chocolate,White / Cream,Short,"Humane Society of Houston County, Inc",GA553,31028,5,True,,True,,False,"Centerville, GA",N/A,N/A,Vaccinations up to date.
72576263,Moo,Mixed Breed,,False,Baby,Male,Medium,"Tricolor (Brown, Black, & White)",,Short,"Humane Society of Houston County, Inc",GA553,31028,4,True,,True,,False,"Centerville, GA",N/A,N/A,Vaccinations up to date.
72576253,Millie,Mixed Breed,,False,Young,Female,Medium,Brown / Chocolate,White / Cream,Short,"Humane Society of Houston County, Inc",GA553,31028,4,,,True,,False,"Centerville, GA",N/A,Yes,Vaccinations up to date.
72576242,Skittles,Labradoodle,,False,Young,Female,Large,Apricot / Beige,,Long,"Humane Society of Houston County, Inc",GA553,31028,1,False,False,True,,False,"Centerville, GA","Athletic, Curious",Yes,"Vaccinations up to date, spayed / neutered."
72576235,Snickers,Mixed Breed,,False,Baby,Male,Medium,Brown / Chocolate,White / Cream,Short,"Humane Society of Houston County, Inc",GA553,31028,5,True,,True,,False,"Centerville, GA",N/A,N/A,Vaccinations up to date.
72576222,Rolo,Mixed Breed,,False,Baby,Female,Medium,"Tricolor (Brown, Black, & White)",,Short,"Humane Society of Houston County, Inc",GA553,31028,3,True,,True,,False,"Centerville, GA",N/A,N/A,Vaccinations up to date.
72575988,Mars,Mixed Breed,,False,Baby,Male,Medium,Brown / Chocolate,White / Cream,Short,"Humane Society of Houston County, Inc",GA553,31028,3,True,True,True,,False,"Centerville, GA",N/A,N/A,Vaccinations up to date.
72575293,Emmy,Labradoodle,,False,Adult,Female,Medium,Red / Chestnut / Orange,,Short,"Humane Society of Houston County, Inc",GA553,31028,3,,,,,False,"Centerville, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered."
72575203,Earl,Mixed Breed,,False,Adult,Male,Small,"Tricolor (Brown, Black, & White)",,Short,"Humane Society of Houston County, Inc",GA553,31028,2,True,,True,,False,"Centerville, GA","Affectionate, Friendly, Playful",Yes,"Vaccinations up to date, special needs."
72575173,Cinnabun,Mixed Breed,,False,Baby,Female,Medium,"Tricolor (Brown, Black, & White)",,Short,"Humane Society of Houston County, Inc",GA553,31028,5,True,,True,,False,"Centerville, GA",N/A,N/A,Vaccinations up to date.
72575112,Cheech,Mixed Breed,,False,Baby,Male,Medium,"Tricolor (Brown, Black, & White)",,Short,"Humane Society of Houston County, Inc",GA553,31028,3,True,,True,,False,"Centerville, GA",N/A,N/A,Vaccinations up to date.
